Entry	Entry Name	Protein names	Gene Names	Organism	Length	Keywords
Q1QVR2	UPP_CHRI1	Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase)	upp Csal_2095	Chromohalobacter israelensis (strain ATCC BAA-138 / DSM 3043 / CIP 106854 / NCIMB 13768 / 1H11) (Chromohalobacter salexigens)	209	Allosteric enzyme;Glycosyltransferase;GTP-binding;Magnesium;Nucleotide-binding;Reference proteome;Transferase
Q1QYT5	MTGA_CHRI1	Biosynthetic peptidoglycan transglycosylase (EC 2.4.99.28) (Glycan polymerase) (Peptidoglycan glycosyltransferase MtgA) (PGT)	mtgA Csal_1016	Chromohalobacter israelensis (strain ATCC BAA-138 / DSM 3043 / CIP 106854 / NCIMB 13768 / 1H11) (Chromohalobacter salexigens)	234	Cell inner membrane;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Glycosyltransferase;Membrane;Peptidoglycan synthesis;Reference proteome;Transferase;Transmembrane;Transmembrane helix
Q1R5J4	GLGB_ECOUT	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)	glgB UTI89_C3941	Escherichia coli (strain UTI89 / UPEC)	728	Carbohydrate metabolism;Glycogen biosynthesis;Glycogen metabolism;Glycosyltransferase;Transferase
Q1R6C6	MTGA_ECOUT	Biosynthetic peptidoglycan transglycosylase (EC 2.4.99.28) (Glycan polymerase) (Peptidoglycan glycosyltransferase MtgA) (PGT)	mtgA UTI89_C3644	Escherichia coli (strain UTI89 / UPEC)	242	Cell inner membrane;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Glycosyltransferase;Membrane;Peptidoglycan synthesis;Transferase;Transmembrane;Transmembrane helix
Q1R9F8	ARNT_ECOUT	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase (EC 2.4.2.43) (4-amino-4-deoxy-L-arabinose lipid A transferase) (Lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase) (Undecaprenyl phosphate-alpha-L-Ara4N transferase)	arnT UTI89_C2539	Escherichia coli (strain UTI89 / UPEC)	550	Cell inner membrane;Cell membrane;Glycosyltransferase;Lipid A biosynthesis;Lipid biosynthesis;Lipid metabolism;Lipopolysaccharide biosynthesis;Membrane;Transferase;Transmembrane;Transmembrane helix
Q1R9G1	ARNC_ECOUT	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC UTI89_C2536	Escherichia coli (strain UTI89 / UPEC)	322	Antibiotic resistance;Cell inner membrane;Cell membrane;Glycosyltransferase;Lipid A biosynthesis;Lipid biosynthesis;Lipid metabolism;Lipopolysaccharide biosynthesis;Membrane;Transferase;Transmembrane;Transmembrane helix
Q1RA54	HIS1_ECOUT	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG UTI89_C2292	Escherichia coli (strain UTI89 / UPEC)	299	Amino-acid biosynthesis;ATP-binding;Cytoplasm;Glycosyltransferase;Histidine biosynthesis;Magnesium;Metal-binding;Nucleotide-binding;Transferase
Q1RAP1	OTSA_ECOUT	Trehalose-6-phosphate synthase (TPS) (EC 2.4.1.15) (Alpha,alpha-trehalose-phosphate synthase [UDP-forming]) (Osmoregulatory trehalose synthesis protein A) (OtsA) (UDP-glucose-glucosephosphate glucosyltransferase)	otsA UTI89_C2097	Escherichia coli (strain UTI89 / UPEC)	474	Glycosyltransferase;Transferase
Q1RF67	APT_ECOUT	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	apt UTI89_C0496	Escherichia coli (strain UTI89 / UPEC)	183	Cytoplasm;Glycosyltransferase;Purine salvage;Transferase
Q1RFD5	TGT_ECOUT	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	tgt UTI89_C0428	Escherichia coli (strain UTI89 / UPEC)	375	Glycosyltransferase;Metal-binding;Queuosine biosynthesis;Transferase;tRNA processing;Zinc
Q1RGA5	MURG_ECOUT	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG UTI89_C0099	Escherichia coli (strain UTI89 / UPEC)	355	Cell cycle;Cell division;Cell inner membrane;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Glycosyltransferase;Membrane;Peptidoglycan synthesis;Transferase
Q1RH25	TGT_RICBR	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	tgt RBE_1258	Rickettsia bellii (strain RML369-C)	359	Glycosyltransferase;Metal-binding;Queuosine biosynthesis;Transferase;tRNA processing;Zinc
Q1RI55	MURG_RICBR	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG RBE_0878	Rickettsia bellii (strain RML369-C)	356	Cell cycle;Cell division;Cell inner membrane;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Glycosyltransferase;Membrane;Peptidoglycan synthesis;Transferase
Q1RLK6	B3GN4_MOUSE	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 4 (EC 2.4.1.149) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4) (BGnT-4) (Beta-1,3-Gn-T4) (Beta-1,3-N-acetylglucosaminyltransferase 4) (Beta3Gn-T4) (EC 2.4.1.-)	B3gnt4	Mus musculus (Mouse)	350	Glycoprotein;Glycosyltransferase;Golgi apparatus;Membrane;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
Q1SGF1	PARP3_MEDTR	Protein ADP-ribosyltransferase PARP3 (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 3) (ADPRT-3) (Poly[ADP-ribose] synthase 3) (Putative poly [ADP-ribose] polymerase 3) (PARP-3)	PARP3	Medicago truncatula (Barrel medic) (Medicago tribuloides)	799	ADP-ribosylation;DNA-binding;Glycosyltransferase;Metal-binding;NAD;Nucleotidyltransferase;Nucleus;Transferase;Zinc;Zinc-finger
Q1WSL3	XPT_LIGS1	Xanthine phosphoribosyltransferase (XPRTase) (EC 2.4.2.22)	xpt LSL_1309	Ligilactobacillus salivarius (strain UCC118) (Lactobacillus salivarius)	192	Cytoplasm;Glycosyltransferase;Purine salvage;Reference proteome;Transferase
Q1WSM8	GLGB_LIGS1	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)	glgB LSL_1294	Ligilactobacillus salivarius (strain UCC118) (Lactobacillus salivarius)	649	Carbohydrate metabolism;Glycogen biosynthesis;Glycogen metabolism;Glycosyltransferase;Reference proteome;Transferase
Q1WT53	APT_LIGS1	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	apt LSL_1090	Ligilactobacillus salivarius (strain UCC118) (Lactobacillus salivarius)	172	Cytoplasm;Glycosyltransferase;Purine salvage;Reference proteome;Transferase
Q1WTA0	MURG_LIGS1	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG LSL_1050	Ligilactobacillus salivarius (strain UCC118) (Lactobacillus salivarius)	365	Cell cycle;Cell division;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Glycosyltransferase;Membrane;Peptidoglycan synthesis;Reference proteome;Transferase
Q1WUD3	UPP_LIGS1	Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase)	upp LSL_0593	Ligilactobacillus salivarius (strain UCC118) (Lactobacillus salivarius)	209	Allosteric enzyme;Glycosyltransferase;GTP-binding;Magnesium;Nucleotide-binding;Reference proteome;Transferase
Q20Y76	APT_RHOPB	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	apt RPC_4387	Rhodopseudomonas palustris (strain BisB18)	199	Cytoplasm;Glycosyltransferase;Purine salvage;Transferase
Q210H1	GLGB_RHOPB	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)	glgB RPC_3680	Rhodopseudomonas palustris (strain BisB18)	716	Carbohydrate metabolism;Glycogen biosynthesis;Glycogen metabolism;Glycosyltransferase;Transferase
Q211T8	MURG_RHOPB	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG RPC_3306	Rhodopseudomonas palustris (strain BisB18)	375	Cell cycle;Cell division;Cell inner membrane;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Glycosyltransferase;Membrane;Peptidoglycan synthesis;Transferase
Q21389	LGE1_CAEEL	Glycosyltransferase-like protein LARGE (EC 2.4.-.-)	lge-1 K09C8.4	Caenorhabditis elegans	631	Glycoprotein;Glycosyltransferase;Golgi apparatus;Membrane;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
Q21706	UGT47_CAEEL	Putative UDP-glucuronosyltransferase ugt-47 (UDPGT 47) (EC 2.4.1.17)	ugt-47 R04B5.9	Caenorhabditis elegans	536	Glycoprotein;Glycosyltransferase;Membrane;Reference proteome;Signal;Transferase;Transmembrane;Transmembrane helix
Q21EF2	PYRE_SACD2	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	pyrE Sde_3672	Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024)	213	Glycosyltransferase;Magnesium;Pyrimidine biosynthesis;Reference proteome;Transferase
Q21KW1	TGT_SACD2	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	tgt Sde_1406	Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024)	374	Glycosyltransferase;Metal-binding;Queuosine biosynthesis;Reference proteome;Transferase;tRNA processing;Zinc
Q21M30	GLGB_SACD2	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)	glgB Sde_0987	Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024)	729	Carbohydrate metabolism;Glycogen biosynthesis;Glycogen metabolism;Glycosyltransferase;Reference proteome;Transferase
Q21MG9	MURG_SACD2	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG Sde_0848	Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024)	389	Cell cycle;Cell division;Cell inner membrane;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Glycosyltransferase;Membrane;Peptidoglycan synthesis;Reference proteome;Transferase
Q21MH0	FTSW_SACD2	Probable peptidoglycan glycosyltransferase FtsW (PGT) (EC 2.4.99.28) (Cell division protein FtsW) (Cell wall polymerase) (Peptidoglycan polymerase) (PG polymerase)	ftsW Sde_0847	Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024)	387	Cell cycle;Cell division;Cell inner membrane;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Glycosyltransferase;Membrane;Peptidoglycan synthesis;Reference proteome;Transferase;Transmembrane;Transmembrane helix
Q21MR4	TRPD_SACD2	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD Sde_0753	Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024)	341	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Glycosyltransferase;Magnesium;Metal-binding;Reference proteome;Transferase;Tryptophan biosynthesis
Q21QM7	APT_ALBFT	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	apt Rfer_4239	Albidiferax ferrireducens (strain ATCC BAA-621 / DSM 15236 / T118) (Rhodoferax ferrireducens)	194	Cytoplasm;Glycosyltransferase;Purine salvage;Reference proteome;Transferase
Q21SW9	MURG_ALBFT	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG Rfer_3425	Albidiferax ferrireducens (strain ATCC BAA-621 / DSM 15236 / T118) (Rhodoferax ferrireducens)	388	Cell cycle;Cell division;Cell inner membrane;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Glycosyltransferase;Membrane;Peptidoglycan synthesis;Reference proteome;Transferase
Q21WG7	GLGB_ALBFT	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)	glgB Rfer_2162	Albidiferax ferrireducens (strain ATCC BAA-621 / DSM 15236 / T118) (Rhodoferax ferrireducens)	625	Carbohydrate metabolism;Glycogen biosynthesis;Glycogen metabolism;Glycosyltransferase;Reference proteome;Transferase
Q22295	UGT50_CAEEL	Putative UDP-glucuronosyltransferase ugt-50 (UDPGT 50) (EC 2.4.1.17)	ugt-50 ugt16 T07C5.1	Caenorhabditis elegans	523	Alternative splicing;Glycoprotein;Glycosyltransferase;Membrane;Reference proteome;Signal;Transferase;Transmembrane;Transmembrane helix
Q23361	ALG12_CAEEL	Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase (EC 2.4.1.260) (Asparagine-linked glycosylation protein 12 homolog) (Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichyl-alpha-1,6-mannosyltransferase) (Mannosyltransferase ALG12 homolog)	algn-12 ZC513.5	Caenorhabditis elegans	492	Endoplasmic reticulum;Glycoprotein;Glycosyltransferase;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix
Q23623	TGT_CAEEL	Queuine tRNA-ribosyltransferase catalytic subunit (EC 2.4.2.64) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	tgt-1 ZK829.6	Caenorhabditis elegans	400	Cytoplasm;Glycosyltransferase;Metal-binding;Reference proteome;Transferase;tRNA processing;Zinc
Q24332	ALG3_DROVI	Dolichyl-P-Man:Man5GlcNAc2-PP-dolichol alpha-1,3-mannosyltransferase Alg3 (EC 2.4.1.258) (Alpha-1,3-mannosyltransferase Alg3) (Asparagine-linked glycosylation protein 3 homolog) (Lethal(2)neighbor of tid protein) (NOT58)	l(2)not not	Drosophila virilis (Fruit fly)	526	Developmental protein;Endoplasmic reticulum;Glycosyltransferase;Membrane;Transferase;Transmembrane;Transmembrane helix;Tumor suppressor
Q24MM7	UPP_DESHY	Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase)	upp DSY4926	Desulfitobacterium hafniense (strain Y51)	209	Allosteric enzyme;Glycosyltransferase;GTP-binding;Magnesium;Nucleotide-binding;Reference proteome;Transferase
Q24TE6	MURG_DESHY	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG DSY2907	Desulfitobacterium hafniense (strain Y51)	369	Cell cycle;Cell division;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Glycosyltransferase;Membrane;Peptidoglycan synthesis;Reference proteome;Transferase
Q24UQ1	APT_DESHY	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	apt DSY2452	Desulfitobacterium hafniense (strain Y51)	173	Cytoplasm;Glycosyltransferase;Purine salvage;Reference proteome;Transferase
Q24VW3	GLGB_DESHY	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)	glgB DSY2040	Desulfitobacterium hafniense (strain Y51)	632	Carbohydrate metabolism;Glycogen biosynthesis;Glycogen metabolism;Glycosyltransferase;Reference proteome;Transferase
Q252Z2	PYRE_CHLFF	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	pyrE CF0874	Chlamydia felis (strain Fe/C-56) (Chlamydophila felis)	206	Glycosyltransferase;Magnesium;Pyrimidine biosynthesis;Reference proteome;Transferase
Q253M6	GLGB_CHLFF	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)	glgB CF0740	Chlamydia felis (strain Fe/C-56) (Chlamydophila felis)	721	Carbohydrate metabolism;Glycogen biosynthesis;Glycogen metabolism;Glycosyltransferase;Reference proteome;Transferase
Q254U7	TGT_CHLFF	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	tgt CF0419	Chlamydia felis (strain Fe/C-56) (Chlamydophila felis)	372	Glycosyltransferase;Metal-binding;Queuosine biosynthesis;Reference proteome;Transferase;tRNA processing;Zinc
Q25566	UMPS_NAEGR	Uridine 5'-monophosphate synthase (UMP synthase) [Includes: Orotate phosphoribosyltransferase (OPRTase) (EC 2.4.2.10); Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMPdecase)]	UMP	Naegleria gruberi (Amoeba)	494	Decarboxylase;Glycosyltransferase;Lyase;Multifunctional enzyme;Pyrimidine biosynthesis;Transferase
Q255W4	MURG_CHLFF	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG CF0152	Chlamydia felis (strain Fe/C-56) (Chlamydophila felis)	357	Cell cycle;Cell division;Cell inner membrane;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Glycosyltransferase;Membrane;Peptidoglycan synthesis;Reference proteome;Transferase
Q27541	HPRT_CRIFA	Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase) (EC 2.4.2.8)	HGPRT	Crithidia fasciculata	208	Cytoplasm;Glycosyltransferase;Magnesium;Metal-binding;Nucleotide-binding;Purine salvage;Transferase
Q28611	UD16_RABIT	UDP-glucuronosyltransferase 1A6 (UGT1A6) (EC 2.4.1.17) (UDP-glucuronosyltransferase 1-6) (UDPGT 1-6) (UGT1*6) (UGT1-06) (UGT1.6)	UGT1	Oryctolagus cuniculus (Rabbit)	531	Alternative splicing;Endoplasmic reticulum;Glycoprotein;Glycosyltransferase;Membrane;Microsome;Reference proteome;Signal;Transferase;Transmembrane;Transmembrane helix
Q28HC6	TGT_XENTR	Queuine tRNA-ribosyltransferase catalytic subunit 1 (EC 2.4.2.64) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	qtrt1 TEgg001l19.1 TGas042b06.1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	396	Cytoplasm;Glycosyltransferase;Membrane;Metal-binding;Mitochondrion;Mitochondrion outer membrane;Reference proteome;Transferase;tRNA processing;Zinc
Q28MD3	APT_JANSC	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	apt Jann_3212	Jannaschia sp. (strain CCS1)	179	Cytoplasm;Glycosyltransferase;Purine salvage;Transferase
Q28MN2	GLGB_JANSC	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)	glgB Jann_3113	Jannaschia sp. (strain CCS1)	701	Carbohydrate metabolism;Glycogen biosynthesis;Glycogen metabolism;Glycosyltransferase;Transferase
Q28NN5	MURG_JANSC	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG Jann_2760	Jannaschia sp. (strain CCS1)	367	Cell cycle;Cell division;Cell inner membrane;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Glycosyltransferase;Membrane;Peptidoglycan synthesis;Transferase
Q28PC5	TGT_JANSC	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	tgt Jann_2520	Jannaschia sp. (strain CCS1)	376	Glycosyltransferase;Metal-binding;Queuosine biosynthesis;Transferase;tRNA processing;Zinc
Q28U96	DEOD_JANSC	Purine nucleoside phosphorylase DeoD-type (PNP) (EC 2.4.2.1)	deoD Jann_0799	Jannaschia sp. (strain CCS1)	234	Glycosyltransferase;Transferase
Q28VR9	MTGA_JANSC	Biosynthetic peptidoglycan transglycosylase (EC 2.4.99.28) (Glycan polymerase) (Peptidoglycan glycosyltransferase MtgA) (PGT)	mtgA Jann_0276	Jannaschia sp. (strain CCS1)	239	Cell inner membrane;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Glycosyltransferase;Membrane;Peptidoglycan synthesis;Transferase;Transmembrane;Transmembrane helix
Q290J8	PIGV_DROPS	GPI mannosyltransferase 2 (EC 2.4.1.-) (GPI mannosyltransferase II) (GPI-MT-II)	GA19757	Drosophila pseudoobscura pseudoobscura (Fruit fly)	452	Endoplasmic reticulum;Glycosyltransferase;GPI-anchor biosynthesis;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix
Q291H4	MTAP_DROPS	S-methyl-5'-thioadenosine phosphorylase (EC 2.4.2.28) (5'-methylthioadenosine phosphorylase) (MTA phosphorylase) (MTAP) (MTAPase)	GA18442	Drosophila pseudoobscura pseudoobscura (Fruit fly)	289	Cytoplasm;Glycosyltransferase;Nucleus;Purine salvage;Reference proteome;Transferase
Q297F5	PNPH_DROPS	Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1)	GA16019	Drosophila pseudoobscura pseudoobscura (Fruit fly)	288	Cytoplasm;Glycosyltransferase;Nucleus;Purine salvage;Reference proteome;Transferase
Q29IL2	POMT2_DROPS	Protein O-mannosyl-transferase 2 (EC 2.4.1.109) (Dolichyl-phosphate-mannose--protein mannosyltransferase 2) (Protein twisted)	tw GA11548	Drosophila pseudoobscura pseudoobscura (Fruit fly)	749	Developmental protein;Endoplasmic reticulum;Glycoprotein;Glycosyltransferase;Membrane;Reference proteome;Repeat;Transferase;Transmembrane;Transmembrane helix
Q2A1J5	APT_FRATH	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	apt FTL_1782	Francisella tularensis subsp. holarctica (strain LVS)	175	Cytoplasm;Glycosyltransferase;Purine salvage;Transferase
Q2A285	UPP_FRATH	Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase)	upp FTL_1520	Francisella tularensis subsp. holarctica (strain LVS)	209	Allosteric enzyme;Glycosyltransferase;GTP-binding;Magnesium;Nucleotide-binding;Transferase
Q2A2I7	MURG_FRATH	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG FTL_1410	Francisella tularensis subsp. holarctica (strain LVS)	371	Cell cycle;Cell division;Cell inner membrane;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Glycosyltransferase;Membrane;Peptidoglycan synthesis;Transferase
Q2A3Y7	TGT_FRATH	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	tgt FTL_0843	Francisella tularensis subsp. holarctica (strain LVS)	367	Glycosyltransferase;Metal-binding;Queuosine biosynthesis;Transferase;tRNA processing;Zinc
Q2A4U7	GLGB_FRATH	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)	glgB FTL_0483	Francisella tularensis subsp. holarctica (strain LVS)	640	Carbohydrate metabolism;Glycogen biosynthesis;Glycogen metabolism;Glycosyltransferase;Transferase
Q2FEZ3	PDP_STAA3	Pyrimidine-nucleoside phosphorylase (PYNP) (Py-NPase) (EC 2.4.2.2)	pdp pyn SAUSA300_2089	Staphylococcus aureus (strain USA300)	433	Glycosyltransferase;Metal-binding;Potassium;Transferase
Q2FF16	UPP_STAA3	Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase)	upp SAUSA300_2066	Staphylococcus aureus (strain USA300)	209	Allosteric enzyme;Glycosyltransferase;GTP-binding;Magnesium;Nucleotide-binding;Transferase
Q2FFM1	MGT_STAA3	Monofunctional glycosyltransferase (MGT) (EC 2.4.99.28) (Peptidoglycan TGase)	mgt SAUSA300_1855	Staphylococcus aureus (strain USA300)	269	Cell membrane;Cell shape;Cell wall biogenesis/degradation;Glycosyltransferase;Membrane;Peptidoglycan synthesis;Transferase;Transmembrane;Transmembrane helix
Q2FG88	TGT_STAA3	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	tgt SAUSA300_1595	Staphylococcus aureus (strain USA300)	379	Glycosyltransferase;Metal-binding;Queuosine biosynthesis;Transferase;tRNA processing;Zinc
Q2FG92	APT_STAA3	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	apt SAUSA300_1591	Staphylococcus aureus (strain USA300)	172	Cytoplasm;Glycosyltransferase;Purine salvage;Transferase
Q2FH20	MURG_STAA3	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG SAUSA300_1311	Staphylococcus aureus (strain USA300)	356	Cell cycle;Cell division;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Glycosyltransferase;Membrane;Peptidoglycan synthesis;Transferase
